paper_name,Gramatika i pravopis,Strane reči,Skraćenice,Argumentacija,Konciznost rečenice,Jasnoća rečenica,Aktiv i pasiv,Početak rečenice,Sadržaj rečenice,Korišćenje vremena,Zarezi,Interpunkcija,Konciznost paragrafa,Organizacija paragrafa,Konzistentnost,Repetitivnost,Bespotrebni detalji,Odnos teksta i teme rada,Nekonciznost,Korišćenje ličnih zamenica,Širi problem,Osnovni koncepti,Značaj rešenja,Pozicioniranje užeg problema u širem kontekstu,Opis fokusa rada,Opis koristi rešenja,Opis problema domena,Zahtevi,Opis drugačijih rešenja,Argumentacija odabranog rešenja,Opis koncepata rešenja,Definisani koncepti,Višak koncepata,Opis rešenja koncepata,Opis rešenja na opštijem nivou,Inicijalno predstavljanje strukture sistema,Opis svake celine strukture rešenja,Preciznost,Visok nivo apstrakcije,Teorijske osnove,Problem,Konciznost,Dovoljno detalja,Vreme pisanja,Struktura opisa rezultata,Diskusija o rezultatima,Finalni paragraf
CoursewareAlat_SV812021.pdf,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
dataenverse_SV18-2020_SV27-2020 (1).pdf,1,1,2,2,1,1,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
DetekcijaMaske_SV16-2020.pdf,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
DetekcijaPravilnogIzvodjenjaVezbi_SV5-2020_SV50-2020.pdf,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
DetekcijaSlepila_SV672020.pdf,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
DETEKCIJA_LAZNIH_VESTI_U_SAVREMENIM_IZVORIMA_INFORMISANJA__SV_11_2021__SV_59_2021.pdf,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Dijagnostika_bolesti_kod_novorođenčadi_zasnovana_na_sistemu_baziranom_na_znanju_SV_45_2021_SV_69_2021 (1).pdf,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Distribuiran_sistem_pametnih_brojila_za_automatizovano_praćenje_potrošnje_električne_energije_SV_1_2021_SV_10_2021.pdf,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Emocionalna klasifikacija istorije slušanja i personalizovane preporuke korišćenjem NLP-a na Spotify-u_SV 14-2021_SV 36-2021.pdf,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
FinoPodešavanjeStableDiffusionModelaPrimenomLoRAMetoda_SV_3_2020.pdf,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
FizickiZasnovanoPrikazivanje_sv42020.pdf,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
galleryapp_SV72020_SV292020.pdf,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
GenetskiAlgoritam_SV76-2020_SV35-2020.pdf,1,1,1,2,1,1,2,2,2,2,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
handgesture_controller_SV8_2020_SV_74_2020.pdf,1,0,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Heksagonalna_arhitektura_SV24-2020.pdf,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ImageStyleTransfer_SV282020.pdf,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Klasifikacija pečuraka korišćenjem CNN, SVM i transfer učenja_SV22_2021_SV21_2021.pdf",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
KLASIFIKACIJA_HISTOPATOLOSKIH_SLIKA_KARCINOMA_KAO_PODRSKA_U_DIGITALNOJ_PATOLOGIJI_SV_53_2021.pdf,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Klasifikacija_tumora_mozga_na_osnovu_snimaka_magnetne_rezonance_SV66_2021 (1).pdf,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ključ-vrijednost-baze-podataka_SV32-2020_SV63-2020.pdf,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
KVSE_SV152020_SV342020 (1).pdf,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
KVSE_sv36.2020_sv39.2020.pdf,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MASTER_MIND_STRATEGIJA__SV_15_2021.pdf,1,1,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Menadžer kvaliteta kompanije_SV66-2020 (1).pdf,1,0,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1
Modularni _sistem_za_fleksibilnu_vizualizaciju_grafova_SV40_2021.pdf,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Nepristrasna detekcija melanoma-SV57-SV64.docx.pdf,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
NoSQLbaza_sv37_2020_sv51_2020.pdf,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
OCR_SV6_2020_SV19_2020.pdf,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Oткривање-рака-дојке_SV12-2020_SV55-2020.pdf,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PametnaKuća_SV782020_SV432020.pdf,1,0,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PametnaKuća_SV80-2020_SV49-2020.pdf,1,0,1,2,1,1,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PametneKuce_SV77-2020_SV79-2020.pdf,1,1,1,1,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PLATFORMA_ZA_PRAĆENJE_ELEKTRIČNE_ENERGIJE__SV_35_2021__SV_23_2021.pdf,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Podsticanje_reciklaže_plastike_kroz_edukaciju_i_nagrađivanje_u_aplikaciji_E_Dukat_SV_42_2021.pdf,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PREDIKCIJA_CENA_LAPTOPA_NA_OSNOVU_KARAKTERISTIKA__SV_19_2021.pdf,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PREDVIĐANJE_ŽIVOTNOG_VEKA_BATERIJE_ELEKTRIČNIH_VOZILA_POMOĆU_MAŠINSKOG_UČENJA_SV_62_2021.pdf,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Prepoznavanje-divljih-macaka_SV2-2020_SV26-2020.pdf,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PrepoznavanjeIKlasifikacijSaobraćajnihZnakova_SV64_2020.pdf,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Prepoznavanje_znakovnog_jezika_primenom_mašinskog_učenja_sv41_2021.docx.pdf,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PresretanjeProjektila_SV102020_SV172020.pdf,0,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
PRIMENA_FONGOVE_JEDNAČINE_SVETLOSTI_U_IMPLEMENTACIJI_VIDEO-IGRE__SV_34_2021.pdf,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Problem_2D_rezanja_i_minimizacija_skarta__SV_54_2021__SV_31_2021 (1).pdf,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Rangirana_pretraga_lokalnih_HTML_dokumenata_u_okviru_fajl_sistema__sv32_2021__sv8_2021.pdf,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
RideShareApp_SV52-2020_SV44-2020.pdf,1,1,1,0,1,1,2,2,2,2,1,1,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
S72 2020-SV 41 2020-Key-Value-Baza Podataka(2).pdf,1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,0,2,0,0,1,0,2,2,2,2,2,2,2,2,1,1,2,2,2,2,0,2,2,2,2,2,1
SAVLADAVANJE_MORFOLOSKIH_IZAZOVA_MASINSKOG_PREVODJENJA_PRIMJENOM_TEHNIKA_VJESTACKE_INTELIGENCIJE_SV_61_2021 (1).pdf,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
SINGLE_SIGN_ON_KAO_RESENJE_PROBLEMA_VISESTRUKIH_AUTENTIFIKACIJA__SV_71_2021 (1).pdf,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Sistem za upravljanje prekidačima u elektroenergetskoj industriji (1).pdf,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
SISTEM_PREPORUKE_FILMOVA_PREPORUKA_FILMOVA_KORISTEĆI_KNN_I_KOSINUSNU_SLIČNOST__SV_7_2021 (1).pdf,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
SkalabilniEngineKeyValueBazaPodataka_SV59_2020.docx (1).pdf,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Smanjenje_pristrasnosti_pri_zaposljavanju_primenom_vestacke_inteligencije_u_aplikaciji_JustHire__SV_26_2021__SV_78_2021.pdf,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
SmartCityHub_SV202020.pdf,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
SmartHome_SV1-2020_SV70-2020.pdf,1,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
SmartHome_SV54-2020_SV73-2020.pdf,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
SmartHome_SV68_SV75.pdf,1,1,1,2,1,1,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
SmartLock_SV472020_SV92020.pdf,1,1,2,2,1,1,2,2,2,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
SmartSpend_mobilna_aplikacija_za_finansijsko_savetovanje_pomoću_veštačke_inteligencije_sv9_2021_sv46_2021.pdf,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Solarise_SV572020_SV452020.pdf,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
SPEKULATIVNO_SPAJANJE_U_SISTEMIMA_KONTINUIRANE_INTEGRACIJE__SV_38_2021 (1).pdf,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
StockProphet_SV462020.pdf,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Unapredjenje_korisnicke_interakcije_sa_Jira_sistemom_primenom_velikih_jezickih_modela_SV20_SV17.pdf,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
VSCODE_EKSTENZIJA__SV_37_2021.pdf,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Игрица-за-обарање-непријатељских-хеликоптера-изнад-Новог-Сада_SV40-2020 (1).pdf,1,0,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,2,1,2,2,1,1,2,2,1,1,1,0,1,1,1,2,1,2,2,2,1,1,1,0,1,1,2,1,1,0
