paper_name,Gramatika i pravopis,Strane reči,Skraćenice,Argumentacija,Konciznost rečenice,Jasnoća rečenica,Aktiv i pasiv,Početak rečenice,Sadržaj rečenice,Korišćenje vremena,Zarezi,Interpunkcija,Konciznost paragrafa,Organizacija paragrafa,Konzistentnost,Repetitivnost,Bespotrebni detalji,Odnos teksta i teme rada,Nekonciznost,Korišćenje ličnih zamenica,Širi problem,Osnovni koncepti,Značaj rešenja,Pozicioniranje užeg problema u širem kontekstu,Opis fokusa rada,Opis koristi rešenja,Opis problema domena,Zahtevi,Opis drugačijih rešenja,Argumentacija odabranog rešenja,Opis koncepata rešenja,Definisani koncepti,Višak koncepata,Opis rešenja koncepata,Opis rešenja na opštijem nivou,Inicijalno predstavljanje strukture sistema,Opis svake celine strukture rešenja,Preciznost,Visok nivo apstrakcije,Teorijske osnove,Problem,Konciznost,Dovoljno detalja,Vreme pisanja,Struktura opisa rezultata,Diskusija o rezultatima,Finalni paragraf
Rad_27,1,0,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,0,1,1,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,1
Rad_28,1,0,1,0,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,0,2,1,2,2,1,1,0,1,1,1,2,2,2,0,2,2,2,1,2,2,0,2,1,2,2,1,1
Rad_30,2,0,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,1,0,0,2,2,2,0,2,2,2,2,1,2,0,2,1,2,2,2,2
Rad_34,1,0,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,0,1,2,1,2,1,1,0,0,0,0,1,1,0,0,0,1,1,2,2,2,0,1,2,2,1,1,0
Rad_33,2,0,1,2,1,1,1,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,2,1,2,1,1,1,0,1,1,2,0,0,1,2,2,2,2,0,2,2,1,2,1,0
Rad_29,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,0,1,2,2,2,0,2,0,0,2,1,2,0,2,2,1,2,2,2
Rad_31,1,0,1,2,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,2,1,1,2,1,1,1,0,0,0,2,1,2,0,0,0,0,2,0,1,1,1,0,2,2,1,1
Rad_32,1,0,1,1,1,1,1,2,2,1,1,2,2,1,0,0,1,2,2,1,2,2,1,2,1,2,1,0,0,0,2,2,2,0,1,2,2,1,2,2,0,0,2,0,1,1,0
Rad_35,1,0,1,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,0,1,1,1,2,1,2,0,1,2,2,2,1,2,2,2,1,2,2,0,2,1,2,2,1,2
Rad_36,1,0,1,0,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,2,0,1,0,1,1,1,1
Rad_37,2,0,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,2,1,2,1,1,2,1,1,2,2,1,2,2,0,2,2,2,2,2,2
Rad_38,1,0,1,2,1,1,1,0,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,0,2,1,2,2,1,1
Rad_39,1,0,1,1,1,1,1,2,0,1,1,2,1,1,1,1,2,2,1,0,1,1,1,2,1,1,1,0,0,1,2,2,2,0,2,2,2,2,1,2,0,1,1,1,2,1,1
Rad_40,2,0,1,2,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,1,1,1,2,1,2,1,2,1,0,1,2,1,2,2,0,1,2,2,1,2,1
Rad_41,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,1,0,0,0,1,2,2,0,1,2,2,2,2,2,0,1,0,1,2,2,1
Rad_45,2,0,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,0,0,0,2,2,2,0,2,2,2,1,2,2,0,1,1,1,2,1,2
Rad_47,2,0,1,2,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,0,2,1,2,2,1,0,0,0,1,0,2,0,2,2,2,1,2,2,0,2,1,1,2,2,2
Rad_48,2,0,1,2,1,2,1,2,2,1,2,2,2,2,1,1,2,2,2,1,2,1,2,2,1,2,1,0,0,0,1,1,2,0,2,2,0,1,2,2,0,2,1,2,2,2,2
Rad_54,1,0,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,0,1,1,0,1,1,0,1,1,1,2,2,2,2,1,1,2,2,2,1,2,0,1,2,1,1,1,0
Rad_43,2,0,1,1,1,2,1,2,1,1,1,2,2,1,2,1,2,2,2,1,2,1,2,2,1,1,1,2,1,0,1,2,2,0,2,2,2,1,2,2,0,2,1,1,2,1,0
Rad_42,1,0,1,1,1,1,1,2,2,1,1,2,2,1,1,1,2,2,2,1,2,1,1,2,1,1,0,1,1,2,0,0,2,0,2,2,2,1,2,2,0,2,1,1,2,2,0
Rad_44,1,0,1,0,1,1,1,2,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,0,1,0,1,1,2,2,2,0,1,2,2,1,2,2,0,1,0,2,2,1,0
Rad_46,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,1,1,1,2,2,2,0,2,2,2,1,2,2,0,1,0,1,1,1,2
Rad_50,1,0,2,1,1,1,1,0,1,1,1,2,2,1,1,1,2,2,1,0,2,1,2,2,2,2,1,0,1,2,0,1,2,0,1,1,0,1,2,1,0,2,0,1,2,1,0
Rad_51,1,0,1,2,1,1,1,0,1,1,1,2,1,1,1,1,2,2,1,1,2,1,2,2,2,2,1,0,2,1,1,1,2,0,2,2,2,2,2,1,1,1,0,2,1,2,1
Rad_52,1,0,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,0,0,1,1,1,2,2,0,1,0,2,1,1,0
Rad_49,1,0,1,1,2,2,1,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,1,0,0,1,1,1,2,0,2,0,1,1,2,2,0,2,0,2,2,2,1
Rad_53,1,0,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,2,1,1,0,1,1,1,2,1,1,1,1,2,2,2,0,1,2,2,1,2,2,0,1,0,1,1,1,0
Rad_55,2,0,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,0,0,1,1,0,1,2,1,2,2,2,2,2,2,2,2,0,1,1,2,2,1,1
Rad_56,2,0,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,0,0,0,0,2,2,2,0,2,1,2,1,2,1,0,2,1,2,2,2,1
Rad_57,1,0,1,0,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,0,0,2,0,2,1,2,1,2,1,0,1,0,0,1,1,1
Rad_58,1,0,0,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,0,0,0,0,0,0,0,1,0,1,1,2,2,2,0,1,2,2,2,2,1,0,1,1,0,1,1,1
Rad_59,1,1,1,2,1,1,1,0,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1,2,2,2,0,2,1,2,2,1,2,0,1,2,2,2,2,2
Rad_60,2,0,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1,2,2,2,0,2,2,2,2,2,2,0,1,1,2,2,2,1
Rad_62,2,0,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,0,0,1,1,2,2,2,0,2,2,2,1,2,1,0,2,2,2,2,2,0
Rad_74,2,0,1,1,1,1,2,1,2,2,2,2,2,1,0,2,2,2,2,0,1,1,0,2,1,0,2,2,2,2,1,1,2,0,2,2,2,1,2,2,0,0,1,2,1,0,0
Rad_61,2,0,1,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,0,2,1,2,2,1,1
Rad_63,1,0,1,2,1,1,1,2,2,1,1,2,2,1,1,1,2,2,2,1,2,1,1,2,1,1,0,0,0,0,2,2,2,0,1,2,2,2,2,2,0,1,2,0,1,1,1
Rad_64,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,1,0,0,0,1,2,2,0,2,2,2,1,2,2,0,2,1,1,2,2,1
Rad_65,1,0,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,2,0,1,2,2,2,1,1,2,2,2,2,2,0,1,2,2,1,1,1
Rad_66,1,0,1,2,1,1,1,0,2,1,1,2,1,1,1,2,2,2,1,0,1,1,1,1,1,0,0,0,1,1,1,1,2,0,1,2,2,1,2,2,0,1,0,2,2,1,0
Rad_67,2,0,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,2,2,2,2,2,2,1,0,1,2,2,2,2,0,1,2,2,2,1,0
Rad_68,1,0,0,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,0,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,0,2,1,1,2,1,0
Rad_69,1,0,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,1,0,1,1,1,1,1,1,1,0,1,2,1,2,1,0,1,2,2,1,2,2,0,0,0,1,0,1,0
Rad_71,1,0,1,2,1,1,1,2,2,2,1,2,2,1,1,1,2,2,2,1,2,1,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,0,2,1,1,2,2,2
Rad_72,1,0,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,1,1,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2
Rad_70,1,0,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,2,1,0,1,1,1,1,1,0,0,1,2,1,2,0,1,2,2,2,2,2,0,1,1,2,2,1,0
Rad_73,1,0,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,1,2,1,2,2,2,2,1,1,2,2,1,1,2,1,1,2,2,2,1,2,0,2,1,2,2,1,2
Rad_75,2,0,1,2,1,2,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,0,1,2,1,1,1,2,1,1,1,1,2,1,1,1,0,2,0,1,0,2,1,2,2,2,0
Rad_76,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,0,0,1,2,2,2,0,2,2,2,2,2,2,0,2,1,2,2,2,1
Rad_77,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,0,1,2,2,2,1,2,2,2,1,2,2,0,2,2,2,2,2,1
Rad_11,2,0,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,0,1,2,1,2,2,0,0,1,2,2,1,2,0,2,2,1,2,2,1
Rad_13,1,0,2,2,1,1,1,2,2,1,1,2,2,1,0,1,2,2,2,1,1,0,1,1,2,1,0,0,0,0,0,0,2,0,1,2,2,2,2,1,0,0,1,1,0,0,0
Rad_23,1,0,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,1,1,1,0,1,1,1,2,1,1,2,1,1,1,2,1,0,0,0,1,2,2,1,0,0,2,1,0,0
Rad_25,1,0,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,1,0,1,1,2,2,2,0,2,2,2,1,1,2,0,2,1,2,2,2,2
Rad_78,1,0,0,0,1,1,1,2,0,1,1,2,1,1,0,1,1,2,1,1,1,0,1,0,1,1,0,0,0,0,1,1,2,0,1,1,1,1,1,1,0,0,0,1,1,0,0
